ticket_id,created_date,resolved_date,channel,category,priority,agent,resolution_time_hours,satisfaction_score,status
TCK-01909,2025-01-01,2025-01-01 02:29:24.000000000,Email,Product Question,Medium,Agent_06,2.49,5.0,Closed
TCK-01448,2025-01-01,2025-01-01 03:08:24.000000000,Email,Technical Issue,Medium,Agent_10,3.14,4.0,Resolved
TCK-01369,2025-01-01,2025-01-01 10:21:00.000000000,Chat,Product Question,Medium,Agent_15,10.35,3.0,Resolved
TCK-01956,2025-01-01,2025-01-01 06:17:23.999999999,Phone,Refund Request,High,Agent_13,6.29,,Resolved
TCK-01442,2025-01-01,2025-01-01 13:52:48.000000000,Email,Technical Issue,Low,Agent_09,13.88,,Resolved
TCK-04651,2025-01-01,2025-01-01 06:29:24.000000000,Phone,Account Access,Medium,Agent_16,6.49,3.0,Closed
TCK-02219,2025-01-01,2025-01-01 04:57:00.000000000,Email,Account Access,Low,Agent_12,4.95,,Reopened
TCK-03634,2025-01-01,2025-01-01 05:25:12.000000000,Email,Product Question,Medium,Agent_16,5.42,4.0,Resolved
TCK-02276,2025-01-01,2025-01-01 05:31:48.000000000,Email,Account Access,Medium,Agent_02,5.53,4.0,Resolved
TCK-02402,2025-01-01,2025-01-01 01:28:48.000000000,Email,Account Access,High,Agent_19,1.48,4.0,Resolved
TCK-04071,2025-01-02,2025-01-02 02:04:12.000000000,Email,Technical Issue,High,Agent_09,2.07,,Resolved
TCK-02749,2025-01-02,2025-01-02 07:27:36.000000000,Chat,Product Question,Low,Agent_03,7.46,,Reopened
TCK-03151,2025-01-02,2025-01-02 02:20:24.000000000,Phone,Billing,High,Agent_02,2.34,,Resolved
TCK-02606,2025-01-02,2025-01-02 07:55:48.000000000,Email,Technical Issue,Medium,Agent_17,7.93,4.0,Resolved
TCK-01510,2025-01-02,2025-01-02 00:39:00.000000000,Chat,Billing,High,Agent_05,0.65,5.0,Resolved
TCK-01699,2025-01-02,2025-01-02 05:16:48.000000000,Social Media,Product Question,Medium,Agent_08,5.28,4.0,Resolved
TCK-03194,2025-01-02,2025-01-02 04:07:48.000000000,Phone,Billing,Medium,Agent_14,4.13,4.0,Resolved
TCK-04558,2025-01-02,2025-01-02 04:35:24.000000000,Social Media,Refund Request,High,Agent_13,4.59,4.0,Closed
TCK-01197,2025-01-02,2025-01-02 06:15:36.000000000,Phone,Billing,Medium,Agent_06,6.26,3.0,Resolved
TCK-00341,2025-01-02,2025-01-02 04:32:24.000000000,Email,Account Access,Medium,Agent_05,4.54,4.0,Resolved
TCK-01582,2025-01-02,2025-01-02 04:51:00.000000000,Phone,Account Access,Low,Agent_06,4.85,,Resolved
TCK-00861,2025-01-02,2025-01-02 09:30:36.000000000,Email,Technical Issue,Low,Agent_11,9.51,,Resolved
TCK-04587,2025-01-02,2025-01-02 01:18:00.000000000,Phone,Product Question,High,Agent_15,1.3,4.0,Resolved
TCK-00733,2025-01-02,2025-01-02 03:33:36.000000000,Email,Product Question,Medium,Agent_10,3.56,,Resolved
